,Site_Id,Date,Hour,HourDescription,Value,AirQualityCategory,DeterminingPollutant,Parameter.ParameterCode,Parameter.ParameterDescription,Parameter.Units,Parameter.UnitsDescription,Parameter.Category,Parameter.SubCategory,Parameter.Frequency
38,287,2022-02-01,1,12 am - 1 am,74.776,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
39,300,2022-02-01,1,12 am - 1 am,0.25536,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
40,300,2022-02-01,1,12 am - 1 am,0.345882,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
41,300,2022-02-01,1,12 am - 1 am,0.935,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
42,300,2022-02-01,1,12 am - 1 am,0.979417,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
43,300,2022-02-01,1,12 am - 1 am,1.43824,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
44,300,2022-02-01,1,12 am - 1 am,4.096943,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
45,300,2022-02-01,1,12 am - 1 am,4.193543,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
46,300,2022-02-01,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
47,300,2022-02-01,1,12 am - 1 am,69.11,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
48,33,2022-02-02,1,12 am - 1 am,0.624,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
49,33,2022-02-02,1,12 am - 1 am,0.450198,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
50,33,2022-02-02,1,12 am - 1 am,2.5718,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
51,33,2022-02-02,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
52,33,2022-02-02,1,12 am - 1 am,37.874,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
53,39,2022-02-02,1,12 am - 1 am,0.165415,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
54,39,2022-02-02,1,12 am - 1 am,0.625,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
