,Site_Id,Date,Hour,HourDescription,Value,AirQualityCategory,DeterminingPollutant,Parameter.ParameterCode,Parameter.ParameterDescription,Parameter.Units,Parameter.UnitsDescription,Parameter.Category,Parameter.SubCategory,Parameter.Frequency
4527,33,2022-06-07,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4528,39,2022-06-07,1,12 am - 1 am,,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4529,39,2022-06-07,1,12 am - 1 am,,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4530,39,2022-06-07,1,12 am - 1 am,,,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4531,39,2022-06-07,1,12 am - 1 am,,,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4532,39,2022-06-07,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4533,107,2022-06-07,1,12 am - 1 am,,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4534,107,2022-06-07,1,12 am - 1 am,,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4535,107,2022-06-07,1,12 am - 1 am,,,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4536,107,2022-06-07,1,12 am - 1 am,,,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4537,107,2022-06-07,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4538,259,2022-06-07,1,12 am - 1 am,,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4539,259,2022-06-07,1,12 am - 1 am,,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4540,259,2022-06-07,1,12 am - 1 am,,,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4541,259,2022-06-07,1,12 am - 1 am,,,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4542,259,2022-06-07,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4543,287,2022-06-07,1,12 am - 1 am,,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4544,287,2022-06-07,1,12 am - 1 am,,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4545,287,2022-06-07,1,12 am - 1 am,,,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4546,287,2022-06-07,1,12 am - 1 am,,,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4547,287,2022-06-07,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4548,300,2022-06-07,1,12 am - 1 am,,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4549,300,2022-06-07,1,12 am - 1 am,,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4550,300,2022-06-07,1,12 am - 1 am,,,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4551,300,2022-06-07,1,12 am - 1 am,,,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4552,300,2022-06-07,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4553,33,2022-06-08,1,12 am - 1 am,0.108,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4554,33,2022-06-08,1,12 am - 1 am,2.322916,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4555,33,2022-06-08,1,12 am - 1 am,2.708725,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4556,33,2022-06-08,1,12 am - 1 am,12.452,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4557,39,2022-06-08,1,12 am - 1 am,0.304553,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4558,39,2022-06-08,1,12 am - 1 am,0.141,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4559,39,2022-06-08,1,12 am - 1 am,1.883802,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4560,39,2022-06-08,1,12 am - 1 am,2.597725,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4561,39,2022-06-08,1,12 am - 1 am,34.073,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4562,107,2022-06-08,1,12 am - 1 am,0.16208,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4563,107,2022-06-08,1,12 am - 1 am,0.214,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4564,107,2022-06-08,1,12 am - 1 am,2.608953,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4565,107,2022-06-08,1,12 am - 1 am,2.7732,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4566,107,2022-06-08,1,12 am - 1 am,18.624,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4567,259,2022-06-08,1,12 am - 1 am,-0.002817,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4568,259,2022-06-08,1,12 am - 1 am,0.066,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4569,259,2022-06-08,1,12 am - 1 am,0.973778,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4570,259,2022-06-08,1,12 am - 1 am,2.87831,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4571,259,2022-06-08,1,12 am - 1 am,14.29,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4572,287,2022-06-08,1,12 am - 1 am,,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4573,287,2022-06-08,1,12 am - 1 am,0.1,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4574,287,2022-06-08,1,12 am - 1 am,0.952048,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4575,287,2022-06-08,1,12 am - 1 am,2.659837,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4576,287,2022-06-08,1,12 am - 1 am,15.635,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4577,300,2022-06-08,1,12 am - 1 am,0.186714,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4578,300,2022-06-08,1,12 am - 1 am,0.104,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4579,300,2022-06-08,1,12 am - 1 am,0.656229,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4580,300,2022-06-08,1,12 am - 1 am,2.748119,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4581,300,2022-06-08,1,12 am - 1 am,14.8,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4582,33,2022-06-09,1,12 am - 1 am,0.128,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4583,33,2022-06-09,1,12 am - 1 am,2.253226,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4584,33,2022-06-09,1,12 am - 1 am,2.4974,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4585,33,2022-06-09,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4586,33,2022-06-09,1,12 am - 1 am,11.834,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4587,39,2022-06-09,1,12 am - 1 am,0.142702,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4588,39,2022-06-09,1,12 am - 1 am,0.264655,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4589,39,2022-06-09,1,12 am - 1 am,0.117,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4590,39,2022-06-09,1,12 am - 1 am,2.138452,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4591,39,2022-06-09,1,12 am - 1 am,2.589675,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4592,39,2022-06-09,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4593,39,2022-06-09,1,12 am - 1 am,11.958,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4594,107,2022-06-09,1,12 am - 1 am,-0.026105,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4595,107,2022-06-09,1,12 am - 1 am,0.378811,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4596,107,2022-06-09,1,12 am - 1 am,0.393,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4597,107,2022-06-09,1,12 am - 1 am,2.659405,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4598,107,2022-06-09,1,12 am - 1 am,,,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4599,107,2022-06-09,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4600,107,2022-06-09,1,12 am - 1 am,30.54,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4601,259,2022-06-09,1,12 am - 1 am,-0.04268,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4602,259,2022-06-09,1,12 am - 1 am,-0.023634,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4603,259,2022-06-09,1,12 am - 1 am,0.078,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4604,259,2022-06-09,1,12 am - 1 am,0.65391,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4605,259,2022-06-09,1,12 am - 1 am,2.614288,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4606,259,2022-06-09,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4607,259,2022-06-09,1,12 am - 1 am,9.366,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4608,287,2022-06-09,1,12 am - 1 am,,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4609,287,2022-06-09,1,12 am - 1 am,0.059,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4610,287,2022-06-09,1,12 am - 1 am,0.06,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4611,287,2022-06-09,1,12 am - 1 am,1.243841,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4612,287,2022-06-09,1,12 am - 1 am,2.679238,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4613,287,2022-06-09,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4614,287,2022-06-09,1,12 am - 1 am,13.762,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4615,300,2022-06-09,1,12 am - 1 am,0.086743,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4616,300,2022-06-09,1,12 am - 1 am,0.130382,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4617,300,2022-06-09,1,12 am - 1 am,0.052,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4618,300,2022-06-09,1,12 am - 1 am,0.06,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4619,300,2022-06-09,1,12 am - 1 am,1.248039,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4620,300,2022-06-09,1,12 am - 1 am,2.442197,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4621,300,2022-06-09,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4622,300,2022-06-09,1,12 am - 1 am,14.492,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4623,33,2022-06-10,1,12 am - 1 am,0.107,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4624,33,2022-06-10,1,12 am - 1 am,2.293416,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4625,33,2022-06-10,1,12 am - 1 am,2.527325,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4626,33,2022-06-10,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4627,33,2022-06-10,1,12 am - 1 am,13.188,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4628,39,2022-06-10,1,12 am - 1 am,0.18785,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4629,39,2022-06-10,1,12 am - 1 am,0.263244,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4630,39,2022-06-10,1,12 am - 1 am,0.082,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4631,39,2022-06-10,1,12 am - 1 am,2.057747,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4632,39,2022-06-10,1,12 am - 1 am,2.44045,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4633,39,2022-06-10,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4634,39,2022-06-10,1,12 am - 1 am,13.066,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4635,107,2022-06-10,1,12 am - 1 am,-0.074888,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4636,107,2022-06-10,1,12 am - 1 am,0.426623,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4637,107,2022-06-10,1,12 am - 1 am,0.39,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4638,107,2022-06-10,1,12 am - 1 am,2.97039,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4639,107,2022-06-10,1,12 am - 1 am,,,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4640,107,2022-06-10,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4641,107,2022-06-10,1,12 am - 1 am,43.855,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4642,259,2022-06-10,1,12 am - 1 am,-0.083233,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4643,259,2022-06-10,1,12 am - 1 am,-0.018833,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4644,259,2022-06-10,1,12 am - 1 am,0.142,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4645,259,2022-06-10,1,12 am - 1 am,0.81278,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4646,259,2022-06-10,1,12 am - 1 am,2.536282,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4647,259,2022-06-10,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4648,259,2022-06-10,1,12 am - 1 am,16.152,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4649,287,2022-06-10,1,12 am - 1 am,,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4650,287,2022-06-10,1,12 am - 1 am,0.031,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4651,287,2022-06-10,1,12 am - 1 am,0.052,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4652,287,2022-06-10,1,12 am - 1 am,0.753429,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4653,287,2022-06-10,1,12 am - 1 am,0.818514,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4654,287,2022-06-10,1,12 am - 1 am,2.565589,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4655,287,2022-06-10,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4656,287,2022-06-10,1,12 am - 1 am,11.046,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4657,300,2022-06-10,1,12 am - 1 am,0.103257,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4658,300,2022-06-10,1,12 am - 1 am,0.115641,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4659,300,2022-06-10,1,12 am - 1 am,0.029,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4660,300,2022-06-10,1,12 am - 1 am,0.054,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4661,300,2022-06-10,1,12 am - 1 am,0.471971,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4662,300,2022-06-10,1,12 am - 1 am,2.434057,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4663,300,2022-06-10,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4664,300,2022-06-10,1,12 am - 1 am,11.313,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4665,33,2022-06-11,1,12 am - 1 am,0.157,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4666,33,2022-06-11,1,12 am - 1 am,2.237238,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4667,33,2022-06-11,1,12 am - 1 am,2.487275,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4668,33,2022-06-11,1,12 am - 1 am,11.683,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4669,39,2022-06-11,1,12 am - 1 am,0.258859,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4670,39,2022-06-11,1,12 am - 1 am,0.138,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4671,39,2022-06-11,1,12 am - 1 am,1.954712,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4672,39,2022-06-11,1,12 am - 1 am,2.562975,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4673,39,2022-06-11,1,12 am - 1 am,11.896,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4674,107,2022-06-11,1,12 am - 1 am,0.258746,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4675,107,2022-06-11,1,12 am - 1 am,0.437,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4676,107,2022-06-11,1,12 am - 1 am,1.6658,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4677,107,2022-06-11,1,12 am - 1 am,,,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4678,107,2022-06-11,1,12 am - 1 am,23.846,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4679,259,2022-06-11,1,12 am - 1 am,-0.042153,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4680,259,2022-06-11,1,12 am - 1 am,0.091,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4681,259,2022-06-11,1,12 am - 1 am,0.312225,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4682,259,2022-06-11,1,12 am - 1 am,2.627121,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4683,259,2022-06-11,1,12 am - 1 am,9.705,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4684,287,2022-06-11,1,12 am - 1 am,,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4685,287,2022-06-11,1,12 am - 1 am,0.083,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4686,287,2022-06-11,1,12 am - 1 am,1.096817,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4687,287,2022-06-11,1,12 am - 1 am,2.579245,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4688,287,2022-06-11,1,12 am - 1 am,12.966,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4689,300,2022-06-11,1,12 am - 1 am,0.123495,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4690,300,2022-06-11,1,12 am - 1 am,0.066,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4691,300,2022-06-11,1,12 am - 1 am,,,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4692,300,2022-06-11,1,12 am - 1 am,2.573164,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4693,300,2022-06-11,1,12 am - 1 am,11.476,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4694,33,2022-06-12,1,12 am - 1 am,0.127,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4695,33,2022-06-12,1,12 am - 1 am,0.550494,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4696,33,2022-06-12,1,12 am - 1 am,1.427891,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4697,33,2022-06-12,1,12 am - 1 am,2.6554,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4698,33,2022-06-12,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4699,33,2022-06-12,1,12 am - 1 am,11.812,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4700,39,2022-06-12,1,12 am - 1 am,0.058005,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4701,39,2022-06-12,1,12 am - 1 am,0.166483,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4702,39,2022-06-12,1,12 am - 1 am,0.091,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4703,39,2022-06-12,1,12 am - 1 am,0.159,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4704,39,2022-06-12,1,12 am - 1 am,0.248223,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4705,39,2022-06-12,1,12 am - 1 am,1.224093,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4706,39,2022-06-12,1,12 am - 1 am,2.687725,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4707,39,2022-06-12,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4708,39,2022-06-12,1,12 am - 1 am,11.924,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4709,107,2022-06-12,1,12 am - 1 am,-0.092724,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4710,107,2022-06-12,1,12 am - 1 am,0.108395,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4711,107,2022-06-12,1,12 am - 1 am,0.08,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4712,107,2022-06-12,1,12 am - 1 am,0.305,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4713,107,2022-06-12,1,12 am - 1 am,0.099968,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4714,107,2022-06-12,1,12 am - 1 am,1.576701,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4715,107,2022-06-12,1,12 am - 1 am,,,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4716,107,2022-06-12,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4717,107,2022-06-12,1,12 am - 1 am,16.38,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
4718,259,2022-06-12,1,12 am - 1 am,-0.083132,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4719,259,2022-06-12,1,12 am - 1 am,-0.040558,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
4720,259,2022-06-12,1,12 am - 1 am,0.085,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
4721,259,2022-06-12,1,12 am - 1 am,0.078187,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
4722,259,2022-06-12,1,12 am - 1 am,0.261657,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
